,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-26980.2,3.82046,93.288,93.4038,-27134.8,-26981.2,-26829.3,598.361,949.966,1.00098
mu_eta1,-0.413986,0.0248302,0.472163,0.286929,-1.33662,-0.29835,0.0846612,528.263,463.697,1.00475
gamma_raw[1],-0.572564,0.0235442,1.16653,1.17759,-2.45696,-0.578531,1.33219,2467.59,1680.45,0.99924
gamma_raw[2],-0.324236,0.0241722,1.16772,1.21996,-2.27394,-0.31359,1.54777,2438.99,1495.65,1.00107
gamma_raw[3],-0.260914,0.0232988,1.14412,1.21011,-2.13971,-0.254592,1.56023,2428.34,1582.44,1.00032
gamma_raw[4],-0.412511,0.0219864,1.13133,1.1458,-2.26595,-0.438157,1.49075,2645.35,1522.3,1.00362
sigma_eta,1.19581,0.00849263,0.215032,0.176637,0.927466,1.15206,1.62288,891.683,856.567,1.00292
eta[1],0.753907,0.00217511,0.130133,0.132407,0.535125,0.750495,0.973282,3619.69,1367.43,1.002
eta[2],-0.554146,0.00185097,0.123956,0.129925,-0.760281,-0.553229,-0.354233,4535.22,1432.89,0.999529
eta[3],5.425,0.0167274,0.792658,0.756208,4.29957,5.32834,6.85418,2947.38,1017.51,0.999662
eta[4],0.34437,0.00179783,0.124869,0.132762,0.141981,0.344046,0.54728,4874.31,1284.87,1.00784
eta[5],-2.28259,0.00333726,0.214898,0.212627,-2.64705,-2.28112,-1.94673,4374.24,1463.23,1.0013
eta[6],2.79736,0.00508392,0.289428,0.266223,2.33057,2.78558,3.29109,3574.93,1087.06,1.00141
eta[7],-0.63866,0.00199368,0.132331,0.127097,-0.859494,-0.636887,-0.425977,4501.85,1498.03,1.00005
eta[8],-0.117689,0.00188759,0.123715,0.118464,-0.316896,-0.11902,0.0845811,4311.52,1450.68,1.00002
eta[9],-0.556231,0.0021763,0.128678,0.126616,-0.772594,-0.557312,-0.350728,3609.81,1254.09,1.0007
eta[10],-1.15719,0.00229074,0.146631,0.145673,-1.40217,-1.15556,-0.924841,4401.78,1449.33,0.999918
eta[11],-0.300593,0.00203061,0.121323,0.119553,-0.497623,-0.303458,-0.098521,3637.77,1588.25,1.00136
eta[12],-1.22189,0.00234939,0.138739,0.135821,-1.45089,-1.22213,-1.001,3468.52,1492.73,1.00392
eta[13],1.14961,0.00218463,0.144426,0.150743,0.911854,1.14975,1.38813,4495.79,1530.97,1.00107
eta[14],0.313245,0.0020247,0.123835,0.126653,0.107968,0.312883,0.514344,3766.93,1364.86,1.00588
eta[15],-0.459974,0.00173601,0.13062,0.125676,-0.675008,-0.459251,-0.240398,5053.77,1341.61,1.00103
eta[16],3.8996,0.00718495,0.429841,0.416195,3.22913,3.8709,4.61456,3641.83,1562.08,1.00459
