scenario_id,rep,N,T,G_true,zero_type,rho_zeta_true,sigma_eta_true,beta0_mu_true,sigma_zeta_true,divergence_rate,treedepth_rate,accuracy,G0_mode,G0_correct,fit_time_min,sigma_eta_mean,sigma_eta_rhat,sigma_eta_ess,beta0_mu_mean,beta0_mu_rhat,beta0_mu_ess,rho_zeta_mean,rho_zeta_rhat,rho_zeta_ess,sigma_zeta_mean,sigma_zeta_rhat,sigma_zeta_ess,w1,w2,w3,w4,w5
1,1,50,50,3,infl,0.7,0.3,0.5,0.4,0.065,7.87,0.88,3,1,5.221721076965332,0.559888,1.01375,83.1059,0.490356,1.00171,1159.84,0.636013,1.00156,245.521,0.440328,1.00286,306.798,0.3504306200373428,0.2119389164400494,0.1730665011659343,0.069613917091102,0.1949500389065017
1,2,50,50,3,infl,0.7,0.3,0.5,0.4,0.126,7.714,0.92,2,0,6.777954765160879,0.649983,1.09794,15.0651,0.475637,1.02715,484.754,0.762341,1.00335,228.481,0.384985,1.00214,189.409,0.3356354960977976,0.1635307134584739,0.1803932624630699,0.1466688393472348,0.1737716912334482
1,3,50,50,3,infl,0.7,0.3,0.5,0.4,0.063,7.841,1.0,3,1,5.587832820415497,0.127727,1.12823,14.902,0.508333,1.00114,748.987,0.544677,1.01935,113.289,0.476541,1.0056,185.486,0.349332753,0.1284534466780587,0.3170094486297861,0.0383541951458801,0.1668501364831021
1,4,50,50,3,infl,0.7,0.3,0.5,0.4,0.137,8.138,0.82,2,0,7.750378966331482,0.582324,1.02925,79.0346,0.48611,1.00332,395.355,0.629333,1.01162,116.871,0.428475,1.02383,124.179,0.3401841420889362,0.2071396139907136,0.157970813724827,0.1183240114997862,0.1763814361671013
1,5,50,50,3,infl,0.7,0.3,0.5,0.4,0.084,8.828,0.98,3,1,10.539468316237132,0.525382,1.03876,39.9503,0.540225,0.999942,952.136,0.684002,1.00115,185.319,0.387866,1.00348,208.553,0.3232350333957873,0.1920073411627764,0.1717469366011851,0.0920425577725187,0.2209681422661384
1,6,50,50,3,infl,0.7,0.3,0.5,0.4,0.141,7.713,0.9,2,0,6.035277311007182,0.559348,1.07631,16.6789,0.470342,1.00947,563.247,0.717868,1.02091,143.321,0.407689,1.02357,151.71,0.3162044949795224,0.2555201145312349,0.14342458290416,0.1353626708195888,0.1494881273117016
1,7,50,50,3,infl,0.7,0.3,0.5,0.4,0.062,8.384,0.94,3,1,7.73038633664449,0.499713,1.05193,36.9343,0.532616,0.998894,864.696,0.654565,1.00267,298.743,0.402352,1.00102,275.001,0.3123327171729381,0.1179085452121303,0.1998855764648839,0.1087368851132886,0.2611362594348458
1,8,50,50,3,infl,0.7,0.3,0.5,0.4,0.163,8.16,0.8,2,0,8.256754465897878,0.572595,1.00199,158.854,0.488005,1.00053,746.414,0.727296,1.0359,106.755,0.373159,1.01422,212.33,0.3683384495450861,0.1702031675298435,0.1462783351465455,0.1720003540242982,0.1431796911299259
1,9,50,50,3,infl,0.7,0.3,0.5,0.4,0.072,7.294,0.92,3,1,7.001210860411326,0.205556,1.05962,30.7745,0.453448,1.00136,472.661,0.668058,1.01772,92.871,0.435008,1.00914,103.689,0.4498923716063757,0.0399404160928736,0.1814451899104537,0.0793676986144891,0.2493542815508496
1,10,50,50,3,infl,0.7,0.3,0.5,0.4,0.12,8.234,0.86,3,1,7.991599027315775,0.522646,1.03448,62.7301,0.383553,1.00106,576.503,0.715702,0.999581,267.043,0.444286,0.998681,304.057,0.3391411752679995,0.2014113416731989,0.1768712668286279,0.117014434404261,0.1655617585284594
